id,Attack Vector,attackComplexity,confidentialityImpact,integrityImpact,availabilityImpact,baseScore,baseSeverity,exploitabilityScore,impactScore,year,AttackVectorNumeric,ConfidentialityImpactNumeric,IntegrityImpactNumeric,BaseSeverityNumeric,AvailabilityImpactNumeric,AttackVectorEncoded
CVE-2011-5325,NETWORK,LOW,NONE,HIGH,NONE,7.5,HIGH,3.9,3.6,2011,0.0,1.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2012-3336,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2012,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2012-3337,NETWORK,LOW,LOW,NONE,NONE,5.3,MEDIUM,3.9,1.4,2012,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2012-3338,NETWORK,LOW,NONE,LOW,NONE,5.3,MEDIUM,3.9,1.4,2012,0.0,1.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2012-3340,NETWORK,LOW,LOW,NONE,NONE,4.3,MEDIUM,2.8,1.4,2012,0.0,2.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2013-4717,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2013,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2013-4718,NETWORK,LOW,LOW,LOW,NONE,5.4,MEDIUM,2.3,2.7,2013,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2013-6276,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2013,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2013-7490,NETWORK,LOW,NONE,NONE,LOW,5.3,MEDIUM,3.9,1.4,2013,0.0,1.0,1.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2013-7491,NETWORK,LOW,NONE,NONE,LOW,5.3,MEDIUM,3.9,1.4,2013,0.0,1.0,1.0,1.0,2.0,"(3,[0],[1.0])"
CVE-2014-10377,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2014,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2014-10401,LOCAL,LOW,HIGH,NONE,LOW,6.1,MEDIUM,1.8,4.2,2014,1.0,0.0,1.0,1.0,2.0,"(3,[1],[1.0])"
CVE-2014-4616,NETWORK,HIGH,HIGH,NONE,NONE,5.9,MEDIUM,2.2,3.6,2014,0.0,0.0,1.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2014-9320,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2014,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2014-9557,NETWORK,LOW,LOW,LOW,NONE,6.1,MEDIUM,2.8,2.7,2014,0.0,2.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-0928,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2015,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-2073,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2015,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2015-2074,NETWORK,LOW,NONE,HIGH,NONE,7.5,HIGH,3.9,3.6,2015,0.0,1.0,0.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2015-2857,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-3163,NETWORK,LOW,NONE,LOW,NONE,4.3,MEDIUM,2.8,1.4,2015,0.0,1.0,2.0,1.0,1.0,"(3,[0],[1.0])"
CVE-2015-3655,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-5224,NETWORK,LOW,HIGH,HIGH,HIGH,9.8,CRITICAL,3.9,5.9,2015,0.0,0.0,0.0,2.0,0.0,"(3,[0],[1.0])"
CVE-2015-5258,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-5947,NETWORK,HIGH,HIGH,HIGH,HIGH,8.1,HIGH,2.2,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-5958,NETWORK,LOW,HIGH,HIGH,HIGH,8.8,HIGH,2.8,5.9,2015,0.0,0.0,0.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-7294,NETWORK,LOW,HIGH,NONE,NONE,7.5,HIGH,3.9,3.6,2015,0.0,0.0,1.0,0.0,1.0,"(3,[0],[1.0])"
CVE-2015-7691,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2015,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-7692,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2015,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
CVE-2015-7701,NETWORK,LOW,NONE,NONE,HIGH,7.5,HIGH,3.9,3.6,2015,0.0,1.0,1.0,0.0,0.0,"(3,[0],[1.0])"
